x,y,z,distance
77.07462310791016,-27.930044174194336,-78.58805847167969,3197.55322265625
80.86273193359375,-27.863279342651367,-81.77397918701172,3202.72412109375
84.97345733642578,-27.794748306274414,-85.05428314208984,3208.232421875
89.1409683227539,-27.732290267944336,-88.18812561035156,3213.6796875
92.81127166748047,-27.692785263061523,-90.80435180664062,3218.37744140625
97.24434661865234,-27.650741577148438,-93.79266357421875,3223.9453125
101.17687225341797,-27.60446548461914,-96.27215576171875,3228.79052734375
105.50920867919922,-27.543651580810547,-98.80589294433594,3234.03515625
109.91413879394531,-27.492046356201172,-101.1832275390625,3239.28369140625
114.80138397216797,-27.45305824279785,-103.62255096435547,3244.98486328125
119.10546112060547,-27.432044982910156,-105.61830139160156,3249.923828125
123.8691177368164,-27.411884307861328,-107.66959381103516,3255.31787109375
128.64794921875,-27.39592170715332,-109.57170867919922,3260.67041015625
133.75048828125,-27.395631790161133,-111.44684600830078,3266.34033203125
138.51171875,-27.406532287597656,-113.0495376586914,3271.58837890625
143.35214233398438,-27.396137237548828,-114.53914642333984,3276.857421875
